OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,lat,lon
1156,CIRCLE K #4700028,"I-74/US-421, EXIT 116 & SR-44",Shelbyville,IN,375,3.599,40.588908,-85.022152
1157,One9 #297,"I-70, EXIT 11 & SR-46",Terre Haute                             ,IN,510,3.43566666,39.439861,-87.336499
1158,PILOT TRAVEL CENTERS #36,US-30  & SR-49,Valparaiso,IN,365,3.869,40.760667,-73.907999
1158,PILOT TRAVEL CENTER #36,US-30  & SR-49,Valparaiso,IN,365,3.859,40.760667,-73.907999
1163,SHORT STOP #13,US-54,Emporia,KS,553,2.839,38.410394,-96.191799
1176,PILOT TRAVEL CENTERS #353,"I-75, EXIT 129",Georgetown,KY,410,3.20566666,36.88926,-83.05517
1179,PILOT TRAVEL CENTERS #399,"I-65, EXIT 105",Lebanon Junction,KY,415,3.609,37.839258,-85.722006
1196,SOUTHERN BELLE TRUCK STOP,US-61 & SR-964,Saint Francisville,LA,725,3.384,30.783415,-91.373357
1199,ALLTOWN MARKETS #306,"I-190, EXIT 7",Leominster,MA,178,3.68233333,42.519615,-71.777338
1202,ONE9 #290,"I-95, EXIT 93 & SR-222",Perryville,MD,22,3.599,39.569611,-76.069864
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,574,3.549,41.791171,-87.586713
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,574,3.349,41.791171,-87.586713
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,574,3.439,41.791171,-87.586713
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,574,3.399,41.791171,-87.586713
1208,D AVENUE FUEL PLAZA,US-131,Kalamazoo,MI,465,3.499,42.314813,-85.592991
1208,D AVENUE FUEL PLAZA,US-131,Kalamazoo,MI,465,3.099,42.314813,-85.592991
1210,ROADHAWK TRAVEL CENTER,"I-94, EXIT 56 & SR-51",Paw Paw                                 ,MI,465,3.599,33.639649,-112.004933
1210,ROADHAWK TRAVEL CENTER,"I-94, EXIT 56 & SR-51",Paw Paw                                 ,MI,465,3.559,33.639649,-112.004933
1217,KWIK TRIP #250,"I-90, EXIT 179",Austin,MN,515,3.374,43.66604,-92.988013
1218,CASEYS #3658,SR-210,Pillager,MN,522,3.299,46.327844,-94.475013
1225,AYERCO #35,US-61 & US-61 BUS,Bowling Green,MO,494,3.01566666,39.34029,-91.195747
